Company,URL,Company Twitter,Contact Page,Email,CEO Name,CEO Twitter,CEO Email
AidCoin,aidcoin.co,https://twitter.com/aid_coin,,hello@aidcoin.co,Vittorio Minacori,https://twitter.com/vittominacori,
Aider Asia,aiderasia.com,,,info@aiderasia.com,,,
Aigang,aigang.network,https://twitter.com/aigangnetwork,,info@aigang.network,Augustas Staras,https://twitter.com/augstaras,augustas@aigang.network
Aion Network,aion.network,https://twitter.com/aion_network,,media@aion.network,Matthew Spoke,https://twitter.com/mattspoke,
AirBase Networks,airbase.network,https://twitter.com/airbasenetwork,,info@airbase.network,,,
Airbitz Inc,airbitz.co,https://twitter.com/edgesecure,,info@airbitz.co,,,
AirSwap,airswap.io,https://twitter.com/airswap,,team@airswap.io,Michael Oved,https://twitter.com/ovedm606,michael@airswap.io
AirToken,airtoken.com,https://twitter.com/airtoken,,corporate@airfox.io,Victor Santos,https://twitter.com/dsantos_victor,
ALIS,alismedia.jp,https://twitter.com/alis_media,,info@alismedia.jp,Masahiro Yasu,https://twitter.com/masahiroalis,
Alitin Exchange,alitin.com,https://twitter.com/alitininc,,administration@alitin.com,Richard Forsyth,,
Alkemi,alkemi.ai,https://twitter.com/alkemiofficial,,,,,
All4btc,all4btc.com,https://twitter.com/all4btc,,support@all4btc.com,,,
AllCode,allcode.com,http://www.twitter.com/allcodecom,https://www.allcode.com/contact_us/,support@allcode.com,Joel Garcia,https://twitter.com/jmhgarcia,joel@allcode.com
allsportschain,allsportschain.com,https://twitter.com/allsportschain,,info@allsportschain.com,,,
AlpaCoin,alpacoin.com,,,info@alpatrading.com,,,
Alpha Ledger,alphaledger.com,https://twitter.com/alphaledgr,,contact@alphaledger.com,Ricardo Moraes,,
Alphabit,alphabitcoinfund.com,,http://alphabitcoinfund.com/contact-us,,,,
AlphaPoint,alphapoint.com,https://twitter.com/alphapointlive,,sales@alphapoint.com,Salil Donde,https://twitter.com/salildonde,salil@alphapoint.com
Alpine Crypto,alpinecrypto.com,,http://alpinecrypto.com/contact/,,,,
Alt-Options,alt-options.com,https://twitter.com/altoptionsllc,,info@alt-options.com,,,
Altcoin Fantasy,altcoinfantasy.com,https://twitter.com/altcoinfantasy,,info@altcoinfantasy.com,Tommy Chan,,
AltcoinTrading.net,altcointrading.net,https://twitter.com/altcointrading,,info@altcointrading.net,,,
AM2.Ro,am2.ro,,,marian@am2.ro,Marian Zychla,,marian@am2.ro
AmaZix.com,amazix.com,https://twitter.com/amazixofficial,,contact@amazix.com,Jonas Sevel Karlberg,,
AMBER TRADE LTD,ambercoin.info,https://twitter.com/ambertradeltd,,info@amber-trade.com,,,
Amberdata,amberdata.io,https://twitter.com/amberdataio,,hello@amberdata.io,Shawn Douglass,https://twitter.com/shawn_douglass,shawn@amberdata.io
Ambicash Universal Currency,ambicash.com,,https://www.admybrand.com/contactus,care@admybrand.com,Richard Forsyth,,
AmbiSafe,ambisafe.co,,,hello@ambisafe.co,Andrey Zamovskiy,https://twitter.com/nixoid,andrey@ambisafe.co
Ambisafe-Financial,ambisafe-financial.com,https://twitter.com/ambifinancial,https://ambisafe-financial.com/#contacts,hello@ambisafe-financial.com,Andrey Zamovskiy,,
Ambrosus,ambrosus.com,https://twitter.com/ambrosusamb,,info@ambrosus.com,Angel Versetti,https://twitter.com/angelversetti,
Amobilenet,asingletouch.net,,,amergroupinc@gmail.com,,,
Amon,amon.tech,https://twitter.com/amonwallet,,hello@amon.tech,Daniele Izzo,,daniele@amon.tech
AmsterdamCoin,amsterdamcoin.com,https://twitter.com/amsterdam_coin,,info@amsterdamcoin.com,,,
AnaNet E-Services,ananet.net,http://twitter.com/ananetsudan,,masarif@ananet.net,,,
AnarchistsPrime,anarchistsprime.info,https://twitter.com/anarchistsprime,,anarchistsprime@gmail.com,,,
Anoncoin,anoncoin.net,https://twitter.com/anoncoinproject,,info@anoncoin.net,Meeh,,
Anonymous Ads,a-ads.com,,,support@a-ads.com,,,
Anryze,anryze.com,http://www.twitter.com/anryze,,team@anryze.com,Anton Gera,https://twitter.com/antonmanual,anton.gera@anryze.com
ANTI.CASH,anti.cash,https://twitter.com/antidotcash,https://anti.cash/contact/,,,,
Antifragile,antifragile.hk,,,info@antifragile.hk,,,
Antikythera Capital,antikythera.capital,https://twitter.com/antikytheracap,,info@antikythera.capital,George Lambrianides,https://twitter.com/lambrianidesg,
Antshares,simplyptp.com,https://twitter.com/simplyptp,,info@simplyptp.com,,,
ANX,anxpro.com,https://twitter.com/anx_pro,,support@anxpro.com,Ken Lo,,ken@anxpro.com
Anycoin Direct,anycoindirect.eu,https://twitter.com/anycoindirect,https://anycoindirect.eu/en/contact,support@anycoindirect.eu,,,
AppCoins,appcoins.io,https://twitter.com/appcoinsproject,,info@appcoins.io,,,
APPII,appii.io,https://twitter.com/appii_io,https://appii.io/contact-us/,info@appii.io,Gary Mckay,,gary.mckay@appii.io
AppleCoin,apcoin.co,https://twitter.com/applecoin,,apple1000@naver.com,,,
Applied Blockchain,appliedblockchain.com,https://twitter.com/appblockchain,https://appliedblockchain.com/#contact,,Adi Ben-Ari,https://twitter.com/adi_benari,adi@appliedblockchain.com
AquariusCoin,aquariuscoin.com,https://twitter.com/arccoin/,https://aquariuscoin.com/get-in-touch/,,,,
ArabianChain,arabianchain.org,https://twitter.com/arabianchain,http://www.arabianchain.org/contact.html,info@arabianchain.org,Mohammed Alsehli,https://twitter.com/elsehli,malsehli@arabianchain.org
Aragon,aragon.one,https://twitter.com/aragonproject,,contact@aragon.one,Luis Cuende,https://twitter.com/licuende,luis@aragon.one
Arcade City,arcade.city,https://twitter.com/arcadecityhall,,cityhall@arcade.city,,,
ArcticCoin,arcticcoin.org,https://twitter.com/arcticcoin_main,,,,,
Ardor Platform,ardorplatform.org,https://twitter.com/ardorplatform,https://www.ardorplatform.org/contact-us-more-information-about-ardor,,,,
AREBA,australianrealestateblockchainassociation.org,https://twitter.com/areba_org,https://www.australianrealestateblockchainassociation.org/contact/,,,,
ARK.io,ark.io,https://twitter.com/arkecosystem,https://ark.io/contact,,Mike Doty,,mike@ark.io
ArtByteMe,artbyte.me,http://twitter.com/artbyteme,https://www.artbyte.me/contact/,support@artbyte.me,,,
ArWrld,arwrld.com,https://twitter.com/arwrld,,team@arwrld.com,,,
ARYUPAY,aryupay.com,https://twitter.com/aryupay/media,http://www.aryupay.com/#contact,support@aryu.co.in,,,
Asch,asch.io,https://twitter.com/aschplatform,,service@asch.io,,,
Ascribe,ascribe.io,https://twitter.com/ascribeio,https://www.ascribe.io/contact/,support@bigchaindb.com,Bruce Pon,https://twitter.com/brucepon,bruce@ascribe.io
AsiaDigiCoin,asiadigicoin.org,https://twitter.com/officialadcn,,info@asiadigicoin.org,,,
Asmoney,asmoney.com,https://twitter.com/asmoneyofficial,,info@asmoney.com,,,
Astronaut,astronaut.capital,https://twitter.com/astronautcap,https://astronaut3.typeform.com/to/nFvxot,,,,
ATBCoin,atbcoin.com,https://twitter.com/atbcoincom,,support@atbcoin.com,Herbert Hoover,,
Athena Bitcoin,athenabitcoin.com,https://twitter.com/athenabitcoin,,support@athenabitcoin.com,Eric Gravengaard,https://twitter.com/egravengaard,eric@athenabitcoin.com
ATLANT.io Platform,atlant.io,https://twitter.com/atlantio,,contact@atlant.io,Julian Svirsky,,js@atlant.io
Atlas,atlas.money,https://twitter.com/atlastogether,,together@atlas.money,Mickey Costa,https://twitter.com/mickeycosta,mickey@atlas.money
Atlas Neue,atlasneue.com,https://twitter.com/atlasneue,,memo@atlasneue.com,Stephan Tual,https://twitter.com/stephantual,stephan@atlasneue.com
Atlas Project,atlasproj.com,https://twitter.com/atlasprojbrasil,,,Rodrigo Marques,,
ATMChain Official,atmchain.io,https://twitter.com/at_mchain,,support@atmchain.io,Paolo Tasca,https://twitter.com/paolotasca,
ATMCoin,atmcoin.com,https://twitter.com/atmcoinexchange,https://www.atmcoin.com/website/contacto,support@bitsblockchain.com,,,
ATN.io,atn.io,https://twitter.com/atn_io,,contact@atn.io,Adel Shahin,,adels@atn.io
ATOMBIT Wallet,atombitwallet.com,https://www.twitter.com/atombitwallet,http://atombitwallet.com/#contact,info@atombitwallet.com,Andreas Leoutsarakos,,
Atomicwallet,okex.com,https://twitter.com/okex_,,support@okex.com,Chris Lee,,chris@okex.com
Auconomy,auconomy.com,http://twitter.com/auconomy,,consult@auconomy.com,Simon de la Rouviere,https://twitter.com/simondlr,simon@auconomy.com
AudioCoin,audiocoin.eu,https://twitter.com/adcaudiocoin,http://www.audiocoin.eu/?page_id=65510,,,,
Augmate,augmate.io,https://twitter.com/augmate,https://www.augmate.io/contacts/,,Pete Wassell,,
Augmentors,augmentorsgame.com,https://twitter.com/augmentorsgame,,info@augmentorsgame.com,Michael Deon,,michael@augmentorsgame.com
Augur,augur.net,https://twitter.com/augurproject,,team@augur.net,Joey Krug,,joey@augur.net
Aurora,auroradao.com,https://twitter.com/aurora_dao,https://auroradao.com/contact/,support@auroradao.com,Alex Wearn,https://twitter.com/alexwearn,alex@auroradao.com
Auroracoin,auroracoin.is,https://twitter.com/officialaur,,info@auroracoin.is,Craig Dellandrea,,
Authorship,authorship.com,https://twitter.com/authorship_com,,contact@authorship.com,Nolan Warfield,,
Autonio,auton.io,https://twitter.com/ai_autonio,,ali@auton.io,,,
Autonomous Trading Systems,autonomoustradingsystems.com/,,,,,,
Auxesis Group,auxesisgroup.com,https://twitter.com/auxesisgroup,https://auxesisgroup.com/contact-us.html,,Akash Gaurav,https://twitter.com/akashgaurav652,
Aventus,aventus.io,https://www.twitter.com/aventussystems,,info@aventus.io,Annika Monari,https://twitter.com/annikamonari,annika@aventus.io
AWARE_Official,aware.bi,https://twitter.com/aware__official,,contact@aware.bi,Jacob Sun,,
AyanWorks,ayanworks.com,https://twitter.com/ayanworkstech,http://www.ayanworks.com/contact-us/,info@ayanworks.com,Ajay Jadhav,https://twitter.com/ajayjadhav,ajay@ayanworks.com
Azraq,azraq.tk,,,info@azraq.tk,,,
Azte.co,azte.co,,,support@azte.co,,,
B9lab,b9lab.com,https://twitter.com/b9lab,,info@b9lab.com,Ibo Sy,https://twitter.com/devcoldice,ibo@b9lab.com
BACKFEED,backfeed.cc,http://twitter.com/backfeed_cc,,info@backfeed.cc,,,
Balance,balancemy.money,https://twitter.com/balancemymoney,,support@balancemy.money,Richard Burton,https://twitter.com/ricburton,richard@balancemy.money
Bancor,bancor.network,https://twitter.com/bancor,https://about.bancor.network/contact,,Bernard Lietaer,https://twitter.com/bernardlietaer,
Bank Innovation,bankinnovation.net,http://twitter.com/bankinnovation,https://bankinnovation.net/submit-marketing-inquiries/,,JJ Hornblass,https://twitter.com/hornblass,
BANKCOIN.global,bankcoin.global,https://twitter.com/bankcoin_global,http://bankcoin.global/contacto.php?lang=,support@bankcoin.global,Juan Carlos Del Castillo,https://twitter.com/jc_bankcoinglob,jc@bankcoin.global
BANKEX,bankex.com,https://twitter.com/bankexprotocol,,bankex@bankex.com,Griffin Anderson,https://twitter.com/andergri,
BankToTheFuture,bnktothefuture.com,,https://bnktothefuture.com/support,,,,
Bankymoon,bankymoon.co.za,https://twitter.com/thebankymoon,http://bankymoon.co.za/contact-1/,,,,
Base58 Capital,base58.capital,https://twitter.com/base58capital,,contact@base58.capital,Fabio Federici,https://twitter.com/fabfederici,
Base58 Capital,base58.capital,https://twitter.com/base58capital,,contact@base58.capital,,,
BasicAttentionToken,basicattentiontoken.org,https://twitter.com/attentiontoken,,info@basicattentiontoken.org,Brendan Eich,https://twitter.com/brendaneich,brendan@basicattentiontoken.org
Bastonet,bastonet.com,https://twitter.com/bastonetproject,,contact@bastonet.com,,,
Bata,bata.io,https://twitter.com/bata_io,,contact@bata.io,,,
BCTip,bctip.org,,,andrey.perliev@gmail.com,Andrey Perliev,https://twitter.com/nornk,
Bean Cash,bitbean.org,https://twitter.com/bitbeanbot,,pr@bitbean.org,,,
BeaverCoin,beavercoin.org,https://twitter.com/beavercoin_bvc,,,,,
Beerpay,beerpay.io,https://twitter.com/beerpayio,,support@beerpay.io,,,
Bela,livebela.com,https://twitter.com/letslivebela,http://livebela.com/contact.html,contact@livebela.com,,,
Bernstein,bernstein.io,https://twitter.com/bernstein_io,https://www.bernstein.io/contact-us/,info@bernstein.io,Marco Barulli,https://twitter.com/mbarulli,marco@bernstein.io
BespokeCoin,bespokecoin.co.uk,https://twitter.com/bespokecoin,,getstarted@bespokecoin.co.uk,,,
Best Bitcoin Baccarat,bestbitcoinbaccarat.com,,https://www.bestbitcoinbaccarat.com/contact/,,,,
Best Bitcoin Binary Options,bestbitcoinbinaryoptions.com,,https://www.bestbitcoinbinaryoptions.com/contact/,,,,
Best Bitcoin Blackjack,bestbitcoinblackjack.com,,https://www.bestbitcoinblackjack.com/contact/,,,,
Best Bitcoin Casino,bestbitcoincasino.com,https://twitter.com/bbitcoincasino,https://www.bestbitcoincasino.com/contact/,,Barry Goldwon,,barry@bestbitcoincasino.com
Best Bitcoin Dice,bestbitcoindice.com,https://twitter.com/bestbitcoindice,https://www.bestbitcoindice.com/contact/,,,,
BetaCoin,betacoin.info,https://twitter.com/betacoin,https://betacoin.info/support.aspx,,,,
Bets.io,bets.io,https://twitter.com/bets_io,,stefan@bets.io,,,
BiblePay,biblepay.org,https://twitter.com/biblepay,,contact@biblepay.org,,,
Bibox,bibox.com,http://www.twitter.com/bibox365,,service@bibox.com,Greg Myers,,
Big Fish Recruitment,bfrecruitment.ru,https://twitter.com/bigfish_msk,http://bfrecruitment.ru/contacts/,info@bfrecruitment.ru,,,
BigONE Exchange,big.one,https://twitter.com/bigoneexchange,https://help.big.one/hc/en-us/requests/new,,,,
BigUp,bigup.club,https://twitter.com/bigupking,,bigupdalife@gmail.com,,,
BillBit,billbit.co,https://twitter.com/billbitco,,conrad@billbit.co,Conrad Lagorio,,conrad@billbit.co
Billionaire Token,billionairetoken.com,,https://billionairetoken.com/#footer,,Daren Iott,https://twitter.com/daren_iott,
Billon Group,billongroup.com,https://twitter.com/billongroup,,contact@billongroup.com,Andrzej Horoszczak,,andrzej.horoszczak@billongroup.com
BillPayForCoins,billpayforcoins.com,https://twitter.com/billpayforcoins,https://www.billpayforcoins.com/contact.php,admin@billpayforcoins.com,Grant Brown,,
Binded,binded.com,https://twitter.com/binded,,support@binded.com,Nathan Lands,https://twitter.com/nathanlands,nathan@binded.com
BindTuning.com,bindtuning.com,https://www.twitter.com/bindskins,,support@bindtuning.com,Beatriz Oliveira,https://twitter.com/beatrizoliveira,beatriz@bindtuning.com
Binkd,binkd.com,https://twitter.com/getbinkd,,support@binkd.com,Mike La Rotonda,https://twitter.com/larotonda/,mike@binkd.com
Bismuth,bismuth.cz,https://twitter.com/bismuthdev,,,Jan Kučera,,
Bit20,bittwenty.com,,,bittwenty@gmail.com,,,
Bit4Coin,bit4coin.net,https://twitter.com/bit4coin,https://bit4coin.net/en/contacts/new,support@bit4coin.net,,,
BitAccess Inc.,bitaccess.co,https://twitter.com/bitaccess,,support@bitaccess.co,Haseeb Awan,https://twitter.com/haseeb,
Bitair,bitair.io,https://twitter.com/bitaircoin,,contact@bitair.io,,,
BitAsean,bitasean.org,https://twitter.com/bitaseanteam,https://www.bitasean.org/contact,bytecodeteam@gmail.com,,,
BitBank.nz,BitBank.nz,https://twitter.com/bitbanknz,,leepenkman@bitbank.nz,Lee Penkman,https://twitter.com/leeleepenkman,
BitBar,bitbar.co,http://twitter.com/spider_btb,,Spider@Spidersbox.com,,,
BitBay,bitbay.market,https://twitter.com/bitbayofficial,,aletha@bitbay.market,David Zimbeck,https://twitter.com/dzimbeck,
Bitbike,bitbike.me,https://twitter.com/bitbikeme,,hello@bitbike.me,,,
bitboost,bitboost.net,https://twitter.com/bitboosters,http://www.bitboost.net/contact-us.php,info@bitboost.net,Paul Mahone,https://twitter.com/bitboostpaul,
BitBox,inbitbox.com,http://twitter.com/inbitbox,,recruitment@inbitbox.com,Kinnard Hockenhull,https://twitter.com/kinnardian,kinnard@inbitbox.com
Bitcallz,bitcallz.com,http://twitter.com/bitcallz,,contact@bitcallz.com,,,
BitClave,bitclave.com,https://twitter.com/bitclave,,info@bitclave.com,Alex Bessonov,https://twitter.com/albessonov,alex@bitclave.com
BitClub Network,bitclubnetwork.com,https://twitter.com/bitclubnetworke,https://bitclubnetwork.com/contact.html,,,,
bitcoin,bitcoin.org,https://twitter.com/bitcoin,,info@bitcoin.org,Satoshi Nakamoto,,satoshi.nakamoto@bitcoin.org
Bitcoin Armory,bitcoinarmory.com,https://twitter.com/bitcoinarmory,,contact@bitcoinarmory.com,,,
Bitcoin Association,bitcoinassociation.org,,,members@bitcoinassociation.org,,,
Bitcoin Atom,bitcoinatom.io,https://twitter.com/atombitcoin,,hello@bitcoinatom.io,,,
Bitcoin Bay,bitcoinbay.ca,,,info@bitcoinbay.ca,Jerry Qian,https://twitter.com/lightswarm,
Bitcoin Boulevard,bitcoinboulevard.us,https://twitter.com/btcboulevardus,,info@coinneo.com,,,
Bitcoin Buster,bitcoinbuster.com,https://twitter.com/bitcoinbuster,https://www.bitcoinbuster.com/contact-bitcoin-buster/,,,,
Bitcoin Casino Affiliates,bitcoincasinoaffiliates.com,,https://www.bitcoincasinoaffiliates.com/contact/,,,,
Bitcoin Casino News,games.bitcoin.com,https://twitter.com/btcplay,,games@bitcoin.com,,,
Bitcoin Chaser,bitcoinchaser.com,https://twitter.com/bitcoinchaser,http://bitcoinchaser.com/contact-us,info@bitcoinchaser.com,Tzvi Shishler,https://twitter.com/tzvishishler,
Bitcoin Decentral Accelerate,bdaccelerate.com,,http://bdaccelerate.com/contacts/,,,,
Bitcoin Diamond,btcd.io,https://twitter.com/bitcoindiamond_,,support@btcd.io,,,
Bitcoin Exchange Guide,bitcoinexchangeguide.com,,https://bitcoinexchangeguide.com/contact-us/,,,,
Bitcoin Foundation,bitcoinfoundation.org,https://twitter.com/btcfoundation,https://bitcoinfoundation.org/contact/,,Llew Claasen,https://twitter.com/llewclaasen,llew@bitcoinfoundation.org
Bitcoin Gold,bitcoingold.org,https://twitter.com/bitcoingold,,support@bitcoingold.org,Jack Liao,,
Bitcoin India,bitcoin-india.org,https://twitter.com/btc_india,,care@bitcoin.zendesk.com,Brett Mason,https://twitter.com/biddingeasy4u,brett@bitcoin-india.org
Bitcoin Macroeconomics,bitcoinmacroeconomics.com,,,btc@bitcoinmacroeconomics.com,,,
Bitcoin Magazine,bitcoinmagazine.com,https://twitter.com/bitcoinmagazine,,contact@btcmedia.org,Mihai Alisie,https://twitter.com/mihaialisie,mihai@bitcoinmagazine.com
Bitcoin Planet,bitcoin-planet.net,https://twitter.com/bitcoin_planet_,,bitcoinplanet2017@gmail.com,,,
Bitcoin Platform and API,bitcore.io,,,security@bitcore.io,,,
Bitcoin Price,bitcoin-price.com,https://twitter.com/bit_coin_price,https://bitcoin-price.com/contact-us/,,Catalin Zorzini,https://twitter.com/zorzini,
Bitcoin Pulse,bitcoinpulse.com,https://twitter.com/bitcoinpulse,,info@bitcoinpulse.com,,,
Bitcoin Shop,btcs.com,https://twitter.com/bitcoinshopus,http://btcs.com/index.php#contact,ir@btcs.com,Michal Handerhan,,
Bitcoin Silver,bitcoinsilver.io,https://twitter.com/bitcoinsilver1,,,,,
Bitcoin Sports Betting,bitcoinsportsbetting.co.uk,https://twitter.com/btcsportsbets,https://www.bitcoinsportsbetting.co.uk/contact/,,,,
Bitcoin Startup,bitcoin.com,https://twitter.com/btctn,,contact@bitcoin.com,Roger Ver,https://twitter.com/rogerkver,roger@bitcoin.com
Bitcoin Warrior,bitcoinwarrior.net,https://twitter.com/bitcoin_win,,editor@bitcoinwarrior.net,,,
Bitcoin.de,bitcoin.de,,https://www.bitcoin.de/en/kontakt,,,,
BitcoinAgile,bitcoinagile.com,https://twitter.com/bitcoinagile,http://bitcoinagile.com/Contact,team@bitcoinagile.com,,,
bitcoinATMnearme.com,bitcoinatmnearme.com,https://twitter.com/atm_bitcoin/,,support@bitcoinatmnearme.com,Sonny Mehraban,,
Bitcoinbasics101.com,bitcoinbasics101.com,https://twitter.com/bitcoinbasics,http://bitcoinbasics101.com/contact/,,Brian Dixon,,
BitcoinCommodities,bitcoincommodities.com,http://twitter.com/algozone,http://bitcoincommodities.com/contact_us.php,,,,
Bitcoinfilm,bitcoinfilm.org,https://twitter.com/bitcoinfilm,http://bitcoinfilm.org/contact/,,Sergio Ruestes,https://twitter.com/sergioruestes,
BitcoinGod,bitcoingod.org,https://twitter.com/bitcoingodorg,,contact@bitcoingod.org,,,
Bitcoinist.net,bitcoinist.com,https://twitter.com/bitcoinist,http://bitcoinist.com/contact-us/,,Zoltan Tokay,https://twitter.com/cezozi,
BitcoinLoans.com,bitbond.com,https://twitter.com/bitbonds,,service@bitbond.com,Radoslav Albrecht,https://twitter.com/radkoalbrecht,radko@bitbond.com
Bitcoinmillionaire,bitcoinmillionaire-app.com,https://twitter.com/bitmillionapp,http://bitcoinmillionaire-app.com/#contact us,,,,
BitcoinPay,bitcoinpay.com,https://twitter.com/bitcoin_pay,https://bitcoinpay.com/en/contact,,Roman Valihrach,https://twitter.com/rvalihrach,
BITCOINPLUS,bitcoinplus.org,http://www.twitter.com/bitcoinplusorg,,contactus@bitcoinplus.org ,Rafał Chraboł,https://twitter.com/rafalchrabol,
Bitcoins Group,bitcoingroup.com.au,https://twitter.com/bitcoingroupau,http://www.bitcoingroup.com.au/contact-us/,info@bitcoingroup.com.au,Sam Lee,,sam.lee@bitcoingroup.com.au
BitcoinTaxSolutions,bitcointaxsolutions.com,,https://www.bitcointaxsolutions.com/contact-us/,,Tyson P. Cross,https://twitter.com/tysonpcross,tyson@bitcointaxsolutions.com
BitcoinToYou,bitcointoyou.com,https://twitter.com/bitcointoyou,,,André Horta,https://twitter.com/andrehorta,
BitcoinWebHosting.net,bitcoinwebhosting.net,,https://secure.bitcoinwebhosting.net/submitticket.php?step=2&deptid=2,,,,
BitConnect,bitconnectcoin.co,https://twitter.com/bitconnectcoins,,support@bitconnectcoin.co,Robert Jaganjac,https://twitter.com/jaganjac14,
BitCore,bitcore.cc,https://twitter.com/bitcore_btx,,info@bitcore.cc,,,
Bitdeal,bitdeal.co.in,https://twitter.com/bitdealuk,https://bitdeal.co/contact-us.html,,,,
BitDegree,bitdegree.org,https://twitter.com/bitdegree_org,,hello@bitdegree.org,Andrius Putna,https://twitter.com/andriusputna,andrius@bitdegree.org
BitDice,bitdice.me,https://twitter.com/bitdice,https://www.bitdice.me/contact,support@bitdice.me,,,
BitDust.io,bitdust.io,https://twitter.com/bitdust_io,,bitdust.io@gmail.com,,,
Bitex.la,bitex.la,https://twitter.com/bitexla,,hola@bitex.la,,,
BitFin Capital,bitfin.co,https://twitter.com/bitfincapital,,info@bitfin.co,,,
bitFlyer,bitflyer.jp,https://twitter.com/bitflyer?top_link&footer,,info@bitflyer.jp,Yuzo Kano,https://twitter.com/yuzokano,yuzo.kano@bitflyer.jp
BitFury,bitfury.com,https://twitter.com/bitfurygroup,,info@bitfury.com,Valery Vavilov,https://twitter.com/valeryvavilov,
BitFury Capital,bitfurycap.com,https://twitter.com/bitfurygroup,,info@bitfurycap.com,Valery Vavilov,https://twitter.com/valeryvavilov,
BitGive,bitgivefoundation.org,https://twitter.com/bitgiveorg,,info@bitgivefoundation.org,Connie Gallippi,https://twitter.com/conniegallippi,
BitGo,bitgo.com,https://twitter.com/bitgo,https://bitgo.freshdesk.com/support/tickets/new,,Mike Belshe,https://twitter.com/mikebelshe,mike@bitgo.com
